Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-01-13 10:30:00-05:00,396.5,396.76,395.37,395.99,6918692,0.0,0.0,0.0
2023-01-13 11:30:00-05:00,396.01,396.59,395.23,396.48,5225535,0.0,0.0,0.0
2023-01-13 12:30:00-05:00,396.48,396.92,396.02,396.45,4502404,0.0,0.0,0.0
2023-01-13 13:30:00-05:00,396.45,397.77,396.33,397.58,6879053,0.0,0.0,0.0
2023-01-13 14:30:00-05:00,397.59,398.3,397.31,398.28,7960056,0.0,0.0,0.0
2023-01-13 15:30:00-05:00,398.3,399.1,398.17,398.47,11103849,0.0,0.0,0.0
2023-01-17 09:30:00-05:00,398.48,400.23,397.62,399.73,12316047,0.0,0.0,0.0
2023-01-17 10:30:00-05:00,399.71,399.83,397.06,397.7,9414762,0.0,0.0,0.0
2023-01-17 11:30:00-05:00,397.7,398.64,397.49,397.61,5611948,0.0,0.0,0.0
2023-01-17 12:30:00-05:00,397.67,398.4,397.53,398.16,4581536,0.0,0.0,0.0
2023-01-17 13:30:00-05:00,398.15,398.84,397.59,397.84,6432353,0.0,0.0,0.0
2023-01-17 14:30:00-05:00,397.85,398.7,397.78,397.96,6283429,0.0,0.0,0.0
2023-01-17 15:30:00-05:00,397.94,398.19,397.15,397.76,8836838,0.0,0.0,0.0
2023-01-18 09:30:00-05:00,399.36,400.12,398.4,399.42,14909537,0.0,0.0,0.0
2023-01-18 10:30:00-05:00,399.44,399.49,394.95,395.36,15867740,0.0,0.0,0.0
2023-01-18 11:30:00-05:00,395.36,395.36,393.51,393.72,11281553,0.0,0.0,0.0
2023-01-18 12:30:00-05:00,393.71,394.1,392.53,393.33,10470999,0.0,0.0,0.0
2023-01-18 13:30:00-05:00,393.33,394.06,393.04,393.73,7965634,0.0,0.0,0.0
2023-01-18 14:30:00-05:00,393.72,393.91,392.71,392.82,8193153,0.0,0.0,0.0
2023-01-18 15:30:00-05:00,392.81,392.86,391.28,391.53,14914076,0.0,0.0,0.0
2023-01-19 09:30:00-05:00,389.36,390.43,388.4,389.05,15867496,0.0,0.0,0.0
2023-01-19 10:30:00-05:00,389.06,389.07,387.56,387.8,9244044,0.0,0.0,0.0
2023-01-19 11:30:00-05:00,387.8,389.04,387.26,388.34,7352008,0.0,0.0,0.0
2023-01-19 12:30:00-05:00,388.33,389.69,387.93,389.12,6731091,0.0,0.0,0.0
2023-01-19 13:30:00-05:00,389.12,390.91,389.12,390.67,11070112,0.0,0.0,0.0
